Date,Open,High,Low,Close,Volume,Volume(XRP),Market Cap
May 10 2026,$1.42,$1.50,$1.41,$1.47,$2.3 bn,1598464981,$86.1 bn
May 9 2026,$1.42,$1.43,$1.41,$1.42,$986.8 m,693550044,$85.1 bn
May 8 2026,$1.39,$1.42,$1.38,$1.42,$1.2 bn,867384935,$83.4 bn
May 7 2026,$1.42,$1.42,$1.38,$1.39,$1.5 bn,1103957587,$83.9 bn
May 6 2026,$1.41,$1.46,$1.41,$1.42,$2.3 bn,1631868578,$85.3 bn
May 5 2026,$1.39,$1.42,$1.39,$1.41,$1.6 bn,1149225256,$84.1 bn
May 4 2026,$1.39,$1.42,$1.38,$1.39,$2.1 bn,1523471323,$83.8 bn
May 3 2026,$1.39,$1.40,$1.38,$1.39,$906.3 m,651644654,$83.1 bn
May 2 2026,$1.39,$1.40,$1.38,$1.39,$964.7 m,694576172,$83.0 bn
May 1 2026,$1.37,$1.40,$1.37,$1.38,$1.4 bn,987975679,$82.6 bn
April 30 2026,$1.37,$1.38,$1.36,$1.37,$1.3 bn,939057757,$81.9 bn
April 29 2026,$1.38,$1.41,$1.35,$1.37,$1.8 bn,1333604107,$82.4 bn
April 28 2026,$1.40,$1.40,$1.37,$1.38,$1.3 bn,972181659,$82.8 bn
April 27 2026,$1.43,$1.45,$1.39,$1.40,$1.8 bn,1241083499,$84.4 bn
April 26 2026,$1.42,$1.43,$1.42,$1.43,$1.0 bn,709260987,$85.3 bn
April 25 2026,$1.43,$1.44,$1.42,$1.42,$840.2 m,587797206,$85.5 bn
April 24 2026,$1.44,$1.45,$1.42,$1.43,$1.7 bn,1175714646,$85.8 bn
April 23 2026,$1.43,$1.44,$1.41,$1.44,$2.0 bn,1436304337,$85.1 bn
April 22 2026,$1.43,$1.46,$1.43,$1.43,$1.9 bn,1314734183,$86.5 bn
April 21 2026,$1.42,$1.45,$1.41,$1.43,$1.9 bn,1330468432,$85.5 bn
April 20 2026,$1.39,$1.44,$1.39,$1.42,$2.3 bn,1599887892,$84.8 bn
April 19 2026,$1.43,$1.44,$1.39,$1.39,$2.2 bn,1545829832,$85.1 bn
April 18 2026,$1.48,$1.48,$1.42,$1.43,$1.9 bn,1333898844,$86.6 bn
April 17 2026,$1.45,$1.51,$1.42,$1.48,$3.2 bn,2215778097,$87.2 bn
April 16 2026,$1.39,$1.46,$1.39,$1.45,$3.2 bn,2225888768,$84.9 bn
April 15 2026,$1.36,$1.40,$1.35,$1.39,$2.0 bn,1475833675,$81.8 bn
April 14 2026,$1.38,$1.39,$1.35,$1.36,$1.9 bn,1396834766,$81.7 bn
April 13 2026,$1.32,$1.38,$1.32,$1.38,$1.9 bn,1454082287,$79.9 bn
April 12 2026,$1.35,$1.35,$1.32,$1.32,$1.4 bn,1086047628,$79.6 bn
April 11 2026,$1.36,$1.37,$1.34,$1.35,$1.3 bn,968516806,$80.8 bn
April 10 2026,$1.34,$1.36,$1.34,$1.36,$1.6 bn,1171057798,$80.6 bn
April 9 2026,$1.34,$1.37,$1.32,$1.34,$2.0 bn,1523776021,$80.1 bn
April 8 2026,$1.38,$1.39,$1.34,$1.34,$1.9 bn,1426130045,$81.7 bn
April 7 2026,$1.32,$1.39,$1.30,$1.38,$1.9 bn,1479995906,$78.7 bn
April 6 2026,$1.33,$1.36,$1.31,$1.32,$1.5 bn,1116084778,$80.2 bn
April 5 2026,$1.32,$1.33,$1.28,$1.33,$1.1 bn,858990290,$77.9 bn
April 4 2026,$1.32,$1.32,$1.31,$1.32,$643.6 m,489534187,$78.6 bn
April 3 2026,$1.32,$1.33,$1.30,$1.32,$1.0 bn,766958523,$78.8 bn
April 2 2026,$1.35,$1.36,$1.28,$1.32,$1.8 bn,1356196263,$78.4 bn
April 1 2026,$1.34,$1.37,$1.33,$1.35,$1.3 bn,995859788,$80.7 bn
March 31 2026,$1.32,$1.35,$1.31,$1.34,$1.5 bn,1138146858,$79.3 bn
March 30 2026,$1.33,$1.36,$1.32,$1.32,$1.4 bn,1016889692,$80.3 bn
March 29 2026,$1.33,$1.34,$1.30,$1.33,$894.4 m,672481498,$79.5 bn
March 28 2026,$1.33,$1.35,$1.32,$1.33,$838.9 m,626553836,$80.0 bn
March 27 2026,$1.36,$1.37,$1.32,$1.33,$1.7 bn,1271825706,$80.3 bn
March 26 2026,$1.41,$1.42,$1.34,$1.36,$1.8 bn,1274666300,$82.3 bn
March 25 2026,$1.42,$1.43,$1.40,$1.41,$1.4 bn,1003612313,$84.7 bn
March 24 2026,$1.43,$1.43,$1.39,$1.42,$1.6 bn,1141420309,$84.3 bn
March 23 2026,$1.39,$1.46,$1.36,$1.43,$2.5 bn,1748665352,$84.2 bn
March 22 2026,$1.40,$1.42,$1.37,$1.38,$1.3 bn,927090946,$83.6 bn
March 21 2026,$1.45,$1.45,$1.41,$1.41,$838.4 m,581507871,$86.2 bn
